"","p","pos","u","sim","target_fdr","method","empirical_fdr","power","n_selected"
"64957",200,100,0,57,0.1,"Zinck",0.2,0.266666666666667,10
"64958",200,100,0,58,0.1,"Zinck",0.117647058823529,0.5,17
"64959",200,100,0,59,0.1,"Zinck",0.28,0.6,25
"64960",200,100,0,60,0.1,"Zinck",0.260869565217391,0.566666666666667,23
"64961",200,100,0,61,0.1,"Zinck",0.3,0.466666666666667,20
"64962",200,100,0,62,0.1,"Zinck",0.125,0.466666666666667,16
"64963",200,100,0,63,0.1,"Zinck",0.333333333333333,0.533333333333333,24
"64964",200,100,0,64,0.1,"Zinck",0.0952380952380952,0.633333333333333,21
"64965",200,100,0,65,0.1,"Zinck",0,0.5,15
"64966",200,100,0,66,0.1,"Zinck",0,0.4,12
"64967",200,100,0,67,0.1,"Zinck",0,0.333333333333333,10
"64968",200,100,0,68,0.1,"Zinck",0.111111111111111,0.533333333333333,18
"64969",200,100,0,69,0.1,"Zinck",0.157894736842105,0.533333333333333,19
"64970",200,100,0,70,0.1,"Zinck",0.0833333333333333,0.366666666666667,12
"64971",200,100,0,71,0.1,"Zinck",0,0.433333333333333,13
"64972",200,100,0,72,0.1,"Zinck",0.181818181818182,0.6,22
"64973",200,100,0,73,0.1,"Zinck",0.285714285714286,0.5,21
"64974",200,100,0,74,0.1,"Zinck",0.0666666666666667,0.466666666666667,15
"64975",200,100,0,75,0.1,"Zinck",0.15,0.566666666666667,20
"64976",200,100,0,76,0.1,"Zinck",0,0.333333333333333,10
"64977",200,100,0,77,0.1,"Zinck",0.217391304347826,0.6,23
"64978",200,100,0,78,0.1,"Zinck",0,0.6,18
"64979",200,100,0,79,0.1,"Zinck",0.157894736842105,0.533333333333333,19
"64980",200,100,0,80,0.1,"Zinck",0.176470588235294,0.466666666666667,17
"64981",200,100,0,81,0.1,"Zinck",0.222222222222222,0.466666666666667,18
"64982",200,100,0,82,0.1,"Zinck",0,0.366666666666667,11
"64983",200,100,0,83,0.1,"Zinck",0.1875,0.433333333333333,16
"64984",200,100,0,84,0.1,"Zinck",0.441176470588235,0.633333333333333,34
"64985",200,100,0,85,0.1,"Zinck",0.0714285714285714,0.433333333333333,14
