p,pos,u,sim,target_fdr,method,empirical_fdr,power,n_selected
200,100,0.5,76,0.1,DeepLINK,0.5,0.6,36
200,100,0.5,77,0.1,DeepLINK,0.5609756097560976,0.6,41
200,100,0.5,78,0.1,DeepLINK,0.3043478260869565,0.5333333333333333,23
200,100,0.5,79,0.1,DeepLINK,0.4347826086956521,0.4333333333333333,23
200,100,0.5,80,0.1,DeepLINK,0.2857142857142857,0.5,21
200,100,0.5,81,0.1,DeepLINK,0.53125,0.5,32
200,100,0.5,82,0.1,DeepLINK,0.3809523809523809,0.4333333333333333,21
200,100,0.5,83,0.1,DeepLINK,0.5217391304347826,0.3666666666666666,23
200,100,0.5,84,0.1,DeepLINK,0.32,0.5666666666666667,25
200,100,0.5,85,0.1,DeepLINK,0.4285714285714285,0.4,21
200,100,0.5,86,0.1,DeepLINK,0.2,0.4,15
200,100,0.5,87,0.1,DeepLINK,0.2727272727272727,0.5333333333333333,22
200,100,0.5,88,0.1,DeepLINK,0.4285714285714285,0.4,21
200,100,0.5,89,0.1,DeepLINK,0.6097560975609756,0.5333333333333333,41
200,100,0.5,90,0.1,DeepLINK,0.5714285714285714,0.6,42
200,100,0.5,91,0.1,DeepLINK,0.1333333333333333,0.4333333333333333,15
200,100,0.5,92,0.1,DeepLINK,0.5,0.4,24
200,100,0.5,93,0.1,DeepLINK,0.4848484848484848,0.5666666666666667,33
200,100,0.5,94,0.1,DeepLINK,0.36,0.5333333333333333,25
200,100,0.5,95,0.1,DeepLINK,0.4,0.4,20
200,100,0.5,96,0.1,DeepLINK,0.4193548387096774,0.6,31
200,100,0.5,97,0.1,DeepLINK,0.3,0.4666666666666667,20
200,100,0.5,98,0.1,DeepLINK,0.4642857142857143,0.5,28
200,100,0.5,99,0.1,DeepLINK,0.5,0.3666666666666666,22
200,100,0.5,100,0.1,DeepLINK,0.36,0.5333333333333333,25
200,100,0.5,1,0.15,DeepLINK,0.3478260869565217,0.5,23
200,100,0.5,2,0.15,DeepLINK,0.4666666666666667,0.5333333333333333,30
200,100,0.5,3,0.15,DeepLINK,0.3846153846153846,0.5333333333333333,26
200,100,0.5,4,0.15,DeepLINK,0.3125,0.3666666666666666,16
200,100,0.5,5,0.15,DeepLINK,0.4705882352941176,0.6,34
200,100,0.5,6,0.15,DeepLINK,0.1904761904761904,0.5666666666666667,21
200,100,0.5,7,0.15,DeepLINK,0.5581395348837209,0.6333333333333333,43
200,100,0.5,8,0.15,DeepLINK,0.4285714285714285,0.4,21
200,100,0.5,9,0.15,DeepLINK,0.5277777777777778,0.5666666666666667,36
200,100,0.5,10,0.15,DeepLINK,0.4857142857142857,0.6,35
200,100,0.5,11,0.15,DeepLINK,0.2857142857142857,0.5,21
200,100,0.5,12,0.15,DeepLINK,0.3529411764705882,0.3666666666666666,17
200,100,0.5,13,0.15,DeepLINK,0.4545454545454545,0.4,22
200,100,0.5,14,0.15,DeepLINK,0.1875,0.4333333333333333,16
200,100,0.5,15,0.15,DeepLINK,0.3529411764705882,0.3666666666666666,17
200,100,0.5,16,0.15,DeepLINK,0.6444444444444445,0.5333333333333333,45
200,100,0.5,17,0.15,DeepLINK,0.2631578947368421,0.4666666666666667,19
200,100,0.5,18,0.15,DeepLINK,0.6071428571428571,0.3666666666666666,28
200,100,0.5,19,0.15,DeepLINK,0.3636363636363636,0.4666666666666667,22
200,100,0.5,20,0.15,DeepLINK,0.4166666666666667,0.4666666666666667,24
200,100,0.5,21,0.15,DeepLINK,0.4857142857142857,0.6,35
200,100,0.5,22,0.15,DeepLINK,0.4444444444444444,0.6666666666666666,36
200,100,0.5,23,0.15,DeepLINK,0.5853658536585366,0.5666666666666667,41
200,100,0.5,24,0.15,DeepLINK,0.4333333333333333,0.5666666666666667,30
200,100,0.5,25,0.15,DeepLINK,0.5952380952380952,0.5666666666666667,42
200,100,0.5,26,0.15,DeepLINK,0.4444444444444444,0.5,27
200,100,0.5,27,0.15,DeepLINK,0.5576923076923077,0.7666666666666667,52
200,100,0.5,28,0.15,DeepLINK,0.375,0.5,24
200,100,0.5,29,0.15,DeepLINK,0.6122448979591837,0.6333333333333333,49
200,100,0.5,30,0.15,DeepLINK,0.5365853658536586,0.6333333333333333,41
200,100,0.5,31,0.15,DeepLINK,0.3529411764705882,0.3666666666666666,17
200,100,0.5,32,0.15,DeepLINK,0.4814814814814814,0.4666666666666667,27
200,100,0.5,33,0.15,DeepLINK,0.2352941176470588,0.4333333333333333,17
200,100,0.5,34,0.15,DeepLINK,0.4333333333333333,0.5666666666666667,30
200,100,0.5,35,0.15,DeepLINK,0.4482758620689655,0.5333333333333333,29
200,100,0.5,36,0.15,DeepLINK,0.4090909090909091,0.4333333333333333,22
200,100,0.5,37,0.15,DeepLINK,0.44,0.4666666666666667,25
200,100,0.5,38,0.15,DeepLINK,0.4545454545454545,0.6,33
200,100,0.5,39,0.15,DeepLINK,0.5102040816326531,0.8,49
200,100,0.5,40,0.15,DeepLINK,0.5454545454545454,0.5,33
200,100,0.5,41,0.15,DeepLINK,0.6,0.4666666666666667,35
200,100,0.5,42,0.15,DeepLINK,0.3636363636363636,0.4666666666666667,22
200,100,0.5,43,0.15,DeepLINK,0.25,0.5,20
200,100,0.5,44,0.15,DeepLINK,0.4,0.5,25
200,100,0.5,45,0.15,DeepLINK,0.44,0.4666666666666667,25
200,100,0.5,46,0.15,DeepLINK,0.5526315789473685,0.5666666666666667,38
200,100,0.5,47,0.15,DeepLINK,0.4193548387096774,0.6,31
200,100,0.5,48,0.15,DeepLINK,0.5428571428571428,0.5333333333333333,35
200,100,0.5,49,0.15,DeepLINK,0.4,0.6,30
200,100,0.5,50,0.15,DeepLINK,0.4,0.4,20
200,100,0.5,51,0.15,DeepLINK,0.4137931034482758,0.5666666666666667,29
200,100,0.5,52,0.15,DeepLINK,0.3478260869565217,0.5,23
200,100,0.5,53,0.15,DeepLINK,0.3809523809523809,0.4333333333333333,21
200,100,0.5,54,0.15,DeepLINK,0.4375,0.6,32
200,100,0.5,55,0.15,DeepLINK,0.4864864864864865,0.6333333333333333,37
200,100,0.5,56,0.15,DeepLINK,0.375,0.5,24
200,100,0.5,57,0.15,DeepLINK,0.627906976744186,0.5333333333333333,43
200,100,0.5,58,0.15,DeepLINK,0.0714285714285714,0.4333333333333333,14
200,100,0.5,59,0.15,DeepLINK,0.4285714285714285,0.5333333333333333,28
200,100,0.5,60,0.15,DeepLINK,0.5714285714285714,0.6,42
200,100,0.5,61,0.15,DeepLINK,0.5476190476190477,0.6333333333333333,42
200,100,0.5,62,0.15,DeepLINK,0.3478260869565217,0.5,23
200,100,0.5,63,0.15,DeepLINK,0.1,0.3,10
200,100,0.5,64,0.15,DeepLINK,0.5,0.6,36
200,100,0.5,65,0.15,DeepLINK,0.2941176470588235,0.4,17
200,100,0.5,66,0.15,DeepLINK,0.4117647058823529,0.3333333333333333,17
200,100,0.5,67,0.15,DeepLINK,0.375,0.5,24
200,100,0.5,68,0.15,DeepLINK,0.3703703703703703,0.5666666666666667,27
200,100,0.5,69,0.15,DeepLINK,0.5,0.4666666666666667,28
200,100,0.5,70,0.15,DeepLINK,0.3,0.4666666666666667,20
200,100,0.5,71,0.15,DeepLINK,0.6060606060606061,0.4333333333333333,33
200,100,0.5,72,0.15,DeepLINK,0.4090909090909091,0.4333333333333333,22
200,100,0.5,73,0.15,DeepLINK,0.25,0.4,16
200,100,0.5,74,0.15,DeepLINK,0.52,0.4,25
200,100,0.5,75,0.15,DeepLINK,0.44,0.4666666666666667,25
200,100,0.5,76,0.15,DeepLINK,0.4285714285714285,0.4,21
200,100,0.5,77,0.15,DeepLINK,0.5185185185185185,0.4333333333333333,27
200,100,0.5,78,0.15,DeepLINK,0.35,0.4333333333333333,20
200,100,0.5,79,0.15,DeepLINK,0.2666666666666666,0.3666666666666666,15
200,100,0.5,80,0.15,DeepLINK,0.5,0.4333333333333333,26
200,100,0.5,81,0.15,DeepLINK,0.3636363636363636,0.4666666666666667,22
200,100,0.5,82,0.15,DeepLINK,0.575,0.5666666666666667,40
